time,open,high,low,close,volume
2026-02-26 00:50:00+00:00,629.64,630.3,628.6,630.02,369.857
2026-02-26 00:55:00+00:00,630.01,630.35,629.55,630.08,255.316
2026-02-26 01:00:00+00:00,630.09,630.74,628.53,630.46,1034.921
2026-02-26 01:05:00+00:00,630.46,631.88,629.65,630.97,624.261
2026-02-26 01:10:00+00:00,630.97,632.09,630.88,632.01,356.487
2026-02-26 01:15:00+00:00,632.01,632.26,630.8,631.43,325.055
2026-02-26 01:20:00+00:00,631.44,631.7,630.69,631.61,132.693
2026-02-26 01:25:00+00:00,631.6,631.6,630.31,630.61,185.353
2026-02-26 01:30:00+00:00,630.62,630.62,628.63,629.14,231.277
2026-02-26 01:35:00+00:00,629.15,629.49,628.36,628.61,2337.938
2026-02-26 01:40:00+00:00,628.61,630.04,627.72,627.73,541.044
2026-02-26 01:45:00+00:00,627.73,628.46,627.04,628.17,574.807
2026-02-26 01:50:00+00:00,628.18,628.57,627.59,627.82,309.818
2026-02-26 01:55:00+00:00,627.83,628.61,627.44,627.54,366.895
2026-02-26 02:00:00+00:00,627.53,627.76,626.04,626.34,1077.103
2026-02-26 02:05:00+00:00,626.34,626.53,625.76,626.51,579.211
2026-02-26 02:10:00+00:00,626.51,626.51,625.37,625.69,769.235
2026-02-26 02:15:00+00:00,625.7,628.39,625.7,627.46,542.81
2026-02-26 02:20:00+00:00,627.45,627.45,625.99,625.99,220.564
2026-02-26 02:25:00+00:00,625.98,626.44,625.59,625.62,320.958
2026-02-26 02:30:00+00:00,625.62,627.11,625.62,626.76,425.525
2026-02-26 02:35:00+00:00,626.75,626.75,625.62,625.92,1039.512
2026-02-26 02:40:00+00:00,625.92,627.5,625.62,627.22,443.56
2026-02-26 02:45:00+00:00,627.22,627.87,626.81,627.0,247.993
2026-02-26 02:50:00+00:00,627.0,628.13,627.0,627.9,167.229
2026-02-26 02:55:00+00:00,627.92,628.8,627.7,628.01,444.993
2026-02-26 03:00:00+00:00,628.01,628.42,626.89,627.7,612.732
2026-02-26 03:05:00+00:00,627.69,627.69,626.47,626.49,234.049
2026-02-26 03:10:00+00:00,626.48,627.26,626.48,627.26,129.159
2026-02-26 03:15:00+00:00,627.26,627.63,627.03,627.3,180.607
2026-02-26 03:20:00+00:00,627.3,627.3,626.35,626.64,176.641
2026-02-26 03:25:00+00:00,626.64,627.14,626.59,626.59,95.568
2026-02-26 03:30:00+00:00,626.59,628.6,626.42,628.24,381.277
2026-02-26 03:35:00+00:00,628.24,628.48,627.1,627.14,801.393
2026-02-26 03:40:00+00:00,627.15,628.36,627.1,627.85,297.271
2026-02-26 03:45:00+00:00,627.84,628.6,627.6,628.44,1103.432
2026-02-26 03:50:00+00:00,628.44,628.44,627.92,627.93,134.546
2026-02-26 03:55:00+00:00,627.92,628.14,627.79,627.87,69.588
2026-02-26 04:00:00+00:00,627.88,628.45,627.45,628.1,378.081
2026-02-26 04:05:00+00:00,628.1,629.0,627.8,628.88,214.167
2026-02-26 04:10:00+00:00,628.88,630.0,628.81,629.1,450.294
2026-02-26 04:15:00+00:00,629.1,630.3,629.09,629.49,536.029
2026-02-26 04:20:00+00:00,629.48,629.48,628.31,628.92,237.961
2026-02-26 04:25:00+00:00,628.92,629.5,628.85,629.15,157.696
2026-02-26 04:30:00+00:00,629.15,631.0,629.04,630.48,487.936
2026-02-26 04:35:00+00:00,630.48,631.74,630.3,631.15,425.947
2026-02-26 04:40:00+00:00,631.14,632.47,630.99,631.51,329.769
2026-02-26 04:45:00+00:00,631.52,631.7,631.15,631.44,134.106
2026-02-26 04:50:00+00:00,631.44,631.44,630.74,631.05,184.503
2026-02-26 04:55:00+00:00,631.04,631.2,630.49,630.52,125.078
2026-02-26 05:00:00+00:00,630.53,630.75,629.7,630.05,155.494
2026-02-26 05:05:00+00:00,630.04,630.04,627.64,628.0,398.381
2026-02-26 05:10:00+00:00,627.99,627.99,626.78,627.65,282.491
2026-02-26 05:15:00+00:00,627.65,627.65,626.24,627.16,539.42
2026-02-26 05:20:00+00:00,627.16,627.75,626.35,627.42,393.564
2026-02-26 05:25:00+00:00,627.41,628.08,627.09,627.5,346.361
2026-02-26 05:30:00+00:00,627.49,627.98,626.87,627.68,230.333
2026-02-26 05:35:00+00:00,627.68,627.68,626.7,627.45,148.109
2026-02-26 05:40:00+00:00,627.45,628.77,627.32,628.42,897.551
2026-02-26 05:45:00+00:00,628.42,629.21,628.07,628.73,320.963
2026-02-26 05:50:00+00:00,628.74,628.91,628.34,628.53,233.888
2026-02-26 05:55:00+00:00,628.52,628.67,628.18,628.52,325.098
2026-02-26 06:00:00+00:00,628.52,628.52,627.14,627.7,457.969
2026-02-26 06:05:00+00:00,627.7,629.64,627.7,628.75,331.099
2026-02-26 06:10:00+00:00,628.75,629.53,628.58,629.24,295.895
2026-02-26 06:15:00+00:00,629.23,629.31,628.11,628.5,129.727
2026-02-26 06:20:00+00:00,628.51,629.04,628.41,628.67,348.899
2026-02-26 06:25:00+00:00,628.68,628.71,627.42,627.42,176.775
2026-02-26 06:30:00+00:00,627.43,627.58,626.7,627.32,310.597
2026-02-26 06:35:00+00:00,627.33,627.33,626.62,626.94,201.626
2026-02-26 06:40:00+00:00,626.93,626.93,626.01,626.13,1005.25
2026-02-26 06:45:00+00:00,626.13,626.55,625.84,626.24,271.952
2026-02-26 06:50:00+00:00,626.23,627.08,626.12,626.15,200.293
2026-02-26 06:55:00+00:00,626.14,626.79,626.14,626.61,147.853
2026-02-26 07:00:00+00:00,626.61,627.67,626.42,627.67,150.201
2026-02-26 07:05:00+00:00,627.67,627.87,627.1,627.87,282.904
